,product_name,product_brand,expire_date,product_code
5014,coconut 2381,bell more aromatics,,
6344,coconut 5050,synarome manufacturing company (pvt) ltd,,
5015,coconut 9040,bell more aromatics,,
7353,coconut and warm ginger liquid hand soap,softsoap,,
6345,coconut bloom,synarome manufacturing company (pvt) ltd,,
1313,coconut butter cookies,dmg food industries sdn bhd,15.05.2019,
1314,coconut cake,yeast atelier sdn bhd,31.07.2019,
1315,coconut cheese crispy,ann-lee industries (m) sdn bhd,30.09.2019,
5852,coconut chum chum,jubilant foods (pvt) ltd.,,
1317,coconut cookies,ann-lee industries (m) sdn bhd,30.09.2019,
1316,coconut cookies,hazel cake house,31.05.2019,
5728,coconut cookies,ismail industries limited,,
1318,coconut cookies,360horizonz sdn. bhd.,31.10.2019,
5729,coconut cookies,ismail industries limited,,
6346,coconut cream 0810,synarome manufacturing company (pvt) ltd,,
6347,coconut cream icd-0770,synarome manufacturing company (pvt) ltd,,
6348,coconut cream icd-1000,synarome manufacturing company (pvt) ltd,,
1319,coconut cream powder,360horizonz sdn. bhd.,31.05.2019,
5016,coconut creamy 6206,bell more aromatics,,
6349,coconut creamy 92-06,synarome manufacturing company (pvt) ltd,,
6350,coconut creamy/a,synarome manufacturing company (pvt) ltd,,
9613,coconut dream,keebler,,
1320,coconut egg jam (kaya original),360horizonz sdn. bhd.,31.10.2019,
1321,coconut egg jam (pandan kaya),360horizonz sdn. bhd.,31.10.2019,
1322,coconut egg yolk mooncake,new wing cheong foods industries sdn bhd,15.07.2019,
6351,coconut extra,synarome manufacturing company (pvt) ltd,,
1323,coconut flavour,kientat trading sdn. bhd.,15.07.2019,
1324,coconut flavour x01516,kientat trading sdn. bhd.,15.07.2019,
9136,coconut fruit bars,365,,
1325,coconut glutinous rice,pak hailam kopitiam sdn bhd,,
5545,coconut halwa,freshmate co.,,
1326,coconut jingsa,new wing cheong foods industries sdn bhd,30.09.2019,
1327,coconut milk cookies,360horizonz sdn. bhd.,31.10.2019,
1328,coconut milk cookies - leaf ori (kuih bangkit),360horizonz sdn. bhd.,31.10.2019,
1329,coconut milk cookies - leaf pandan (kuih bangkit),360horizonz sdn. bhd.,31.10.2019,
1330,coconut milk cookies - square ori (kuih bangkit),360horizonz sdn. bhd.,31.10.2019,
1331,coconut milk cookies - square pandan (kuih bangkit),360horizonz sdn. bhd.,31.10.2019,
5017,coconut no 1,bell more aromatics,,
6352,coconut o.s,synarome manufacturing company (pvt) ltd,,
1332,coconut oil,360horizonz sdn. bhd.,31.10.2019,
5018,coconut roasted,bell more aromatics,,
