product_name,product_brand,expire_date,product_code
"
 Sweet Powdered products , snacks and Mix cake Product
","
 Vegeta
","
 17-08-16
",
"
  Soups
","
 McDonalds
","
 29-08-16
",
"
 Spices Product 
","
 Multiple
","
 28-11-16
",
"
 Resturant, Food Service
","
 Patchi
","
 3.4.2017
",
"
 Meat and poultry processing
","
 Gazebo
","
 3.29.2017
",
"
 Chocolate
","
 Americana
","
 4.18.2017
",
"
 Resturant, Food Service
","
 Awafi, Star
","
 5.30.2017
",
"
 Processed meat products
","
 Texas Chicken
","
 6.11.2017
",
"
 Carbonated Drink
","
 Burger King
","
 6.11.2017
",
"
 Resturant, Food Service
","
 Buffalo Wild Wing
","
 7.17.2017
",
Santosh Plain Naan,Santosh,,76681 00286
Naan Garlic,Tando,,76681 00793
Naan Original,Tando,,76681 00792
Tandoor Baked Naan Origical,Santosh,,76681 00443
Tandoor Baked Naan Whole Wheat,Santosh,,76681 00445
Vanilla Cheesecake,Sublime Desserts,,-
Very Berry Coffee Cake,Sublime Desserts,,-
White Chocolate & Dark Chocolate ,Sublime Desserts,,-
Wild Berries Cake,Sublime Desserts,,-
Brownie Cream Puff Cake,Sublime Desserts,,-
Puff Pastry,Zabiha Halal,,67714 00754
Reya Naan Garlic,Reya,,76681 00316
Reya Naan Original,Reya,,76681 00308
Reya Organic Naan,Reya,,76681 00123
Dried Fish Gelatin,SeaSource Collagen,,-
Vitasure Super Kid Liquid,Clarovita,,28451 41609
Claro Lac Baby Formula 59mL,Clarovita ,,28451 41634
Vitasure Kid Liquid 235mL,Clarovita,,28451 41635
Creamy Liquid Fry ,Hubberts,,66008 00151
Supreme - All Purpose,Hubberts,,66008 00502
Canola Oil,Hubberts,,66008 00306
Vegetable Broth,Campbell ,,63211 18246
Everday Gourmet Fire Roasted Sweet Pepper & Tomato Soup,Campbell ,,63211 16338
Everday Gourmet Soup - Red Pepper Black Bean,Campbell ,,63211 14942
Vegetable Oil,Hubberts,,66008 00320
TEE-Free Canola Liquid Shortening (Proextra) ,Hubberts,,66008 00141
Transition NH All Purpose Palm Shortening  ,Hubberts,,66008 00503
Can Sun Trans Free Frying Oil (Sunflower & Canola Oil),Hubberts,,66008 00432
Condensed Soup - Cream of Asparagus,Campbell ,,63211 01206
Moroccan Vegetable Soup 540 ml,Campbell ,,63211 21592
Condensed Soup - Low Fat Cream of Broccoli,Campbell ,,63211 12562
Condensed Soup - Vegetarian ,Campbell ,,63211 06037
Transition TF-Deep Frying Oil 16L,Hubberts,,66008 00433
Liquid Deep-Frying Shortening ,Hubberts,,66008 00101
Peanut Oil,Hubberts,,66008 00402
Condensed Soup - Tomato Rice,Campbell ,,63211 00431
Condensed Soup - Tomato,Campbell ,,63211 00011
